# Logfile created on 2022-03-03 08:55:07 +0100 by logger.rb/v1.4.2
D, [2022-03-03T08:57:41.200747 #99] DEBUG -- :    (0.3ms)  SELECT 1
D, [2022-03-03T09:22:53.442382 #103] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:22:53.443608 #103] DEBUG -- :   Category Create (1.1ms)  INSERT INTO `categories` VALUES ()
D, [2022-03-03T09:22:53.468297 #103] DEBUG -- :   TRANSACTION (17.4ms)  COMMIT
D, [2022-03-03T09:22:53.469140 #103] DEBUG -- :   TRANSACTION (0.4ms)  BEGIN
D, [2022-03-03T09:22:53.469653 #103] DEBUG -- :   Category Create (0.4ms)  INSERT INTO `categories` VALUES ()
D, [2022-03-03T09:22:53.504889 #103] DEBUG -- :   TRANSACTION (35.1ms)  COMMIT
D, [2022-03-03T09:22:53.556555 #103] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:22:53.557323 #103] DEBUG -- :   Product Create (0.5ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('apple', '2.35', 'Little apple', 1)
D, [2022-03-03T09:22:53.560381 #103] DEBUG -- :   TRANSACTION (2.9ms)  COMMIT
D, [2022-03-03T09:22:53.561323 #103] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:22:53.561863 #103] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('lemon', '6.15', 'Big lemon', 1)
D, [2022-03-03T09:22:53.563256 #103] DEBUG -- :   TRANSACTION (1.3ms)  COMMIT
D, [2022-03-03T09:22:53.563959 #103] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:22:53.564328 #103] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('limousine', '25.95', 'A limousine', 2)
D, [2022-03-03T09:22:53.566780 #103] DEBUG -- :   TRANSACTION (2.4ms)  COMMIT
D, [2022-03-03T09:22:53.567368 #103] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:22:53.567766 #103] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('truck', '200', 'A truck', 2)
D, [2022-03-03T09:22:53.601838 #103] DEBUG -- :   TRANSACTION (33.9ms)  COMMIT
D, [2022-03-03T09:22:53.630062 #103] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:22:53.630677 #103] DEBUG -- :   Client Create (0.5ms)  INSERT INTO `clients` (`firstname`, `lastname`) VALUES ('Theo', 'Gautier')
D, [2022-03-03T09:22:53.676352 #103] DEBUG -- :   TRANSACTION (45.5ms)  COMMIT
D, [2022-03-03T09:22:53.677176 #103] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T09:22:53.677612 #103] DEBUG -- :   Client Create (0.4ms)  INSERT INTO `clients` (`firstname`, `lastname`) VALUES ('john', 'doedoe')
D, [2022-03-03T09:22:53.679804 #103] DEBUG -- :   TRANSACTION (2.0ms)  COMMIT
D, [2022-03-03T09:28:09.871003 #105] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:28:09.871498 #105] DEBUG -- :   Category Create (0.4ms)  INSERT INTO `categories` VALUES ()
D, [2022-03-03T09:28:09.876966 #105] DEBUG -- :   TRANSACTION (4.2ms)  COMMIT
D, [2022-03-03T09:28:09.877790 #105] DEBUG -- :   TRANSACTION (0.4ms)  BEGIN
D, [2022-03-03T09:28:09.878247 #105] DEBUG -- :   Category Create (0.4ms)  INSERT INTO `categories` VALUES ()
D, [2022-03-03T09:28:09.879660 #105] DEBUG -- :   TRANSACTION (1.3ms)  COMMIT
D, [2022-03-03T09:28:09.891227 #105] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:28:09.891682 #105] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('apple', '2.35', 'Little apple', 3)
D, [2022-03-03T09:28:09.893058 #105] DEBUG -- :   TRANSACTION (1.2ms)  COMMIT
D, [2022-03-03T09:28:09.893682 #105] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T09:28:09.894056 #105] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('lemon', '6.15', 'Big lemon', 3)
D, [2022-03-03T09:28:09.895459 #105] DEBUG -- :   TRANSACTION (1.3ms)  COMMIT
D, [2022-03-03T09:28:09.896014 #105] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T09:28:09.896389 #105] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('limousine', '25.95', 'A limousine', 4)
D, [2022-03-03T09:28:09.900082 #105] DEBUG -- :   TRANSACTION (3.6ms)  COMMIT
D, [2022-03-03T09:28:09.900616 #105] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T09:28:09.903587 #105] DEBUG -- :   Product Create (2.9ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('truck', '200', 'A truck', 4)
D, [2022-03-03T09:28:09.905753 #105] DEBUG -- :   TRANSACTION (2.0ms)  COMMIT
D, [2022-03-03T09:28:09.911894 #105] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T09:28:09.912370 #105] DEBUG -- :   Client Create (0.4ms)  INSERT INTO `clients` (`firstname`, `lastname`) VALUES ('Theo', 'Gautier')
D, [2022-03-03T09:28:09.914609 #105] DEBUG -- :   TRANSACTION (2.0ms)  COMMIT
D, [2022-03-03T09:28:09.915165 #105] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-03T09:28:09.915613 #105] DEBUG -- :   Client Create (0.4ms)  INSERT INTO `clients` (`firstname`, `lastname`) VALUES ('john', 'doedoe')
D, [2022-03-03T09:28:09.916936 #105] DEBUG -- :   TRANSACTION (1.2ms)  COMMIT
D, [2022-03-03T09:28:09.961397 #105] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:28:09.962011 #105] DEBUG -- :   Order Create (0.5ms)  INSERT INTO `orders` (`created_at`, `status`, `client_id`) VALUES ('2022-03-03 08:28:09.960630', 'PROGRESS', 3)
D, [2022-03-03T09:28:09.962813 #105] DEBUG -- :   OrderItem Create (0.4ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (1, 5)
D, [2022-03-03T09:28:09.963449 #105] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (1, 7)
D, [2022-03-03T09:28:09.963987 #105] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (1, 8)
D, [2022-03-03T09:28:09.966710 #105] DEBUG -- :   TRANSACTION (2.5ms)  COMMIT
D, [2022-03-03T09:28:09.968145 #105] DEBUG -- :   TRANSACTION (0.4ms)  BEGIN
D, [2022-03-03T09:28:09.968625 #105] DEBUG -- :   Order Create (0.4ms)  INSERT INTO `orders` (`created_at`, `status`) VALUES ('2022-03-03 08:28:09.967574', 'PROGRESS')
D, [2022-03-03T09:28:09.969291 #105] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (2, 5)
D, [2022-03-03T09:28:09.969749 #105] DEBUG -- :   OrderItem Create (0.2ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (2, 6)
D, [2022-03-03T09:28:09.970286 #105] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (2, 7)
D, [2022-03-03T09:28:09.970888 #105] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (2, 8)
D, [2022-03-03T09:28:09.972500 #105] DEBUG -- :   TRANSACTION (1.5ms)  COMMIT
D, [2022-03-03T09:28:09.983761 #105] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T09:28:09.987070 #105] DEBUG -- :   Order Update (3.2ms)  UPDATE `orders` SET `orders`.`client_id` = 3 WHERE `orders`.`id` = 2
D, [2022-03-03T09:28:09.988795 #105] DEBUG -- :   TRANSACTION (1.4ms)  COMMIT
D, [2022-03-03T10:05:04.193261 #146] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:05:04.193703 #146] DEBUG -- :   Category Create (0.3ms)  INSERT INTO `categories` VALUES ()
D, [2022-03-03T10:05:04.198981 #146] DEBUG -- :   TRANSACTION (4.1ms)  COMMIT
D, [2022-03-03T10:05:04.199800 #146] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:05:04.200245 #146] DEBUG -- :   Category Create (0.4ms)  INSERT INTO `categories` VALUES ()
D, [2022-03-03T10:05:04.201686 #146] DEBUG -- :   TRANSACTION (1.3ms)  COMMIT
D, [2022-03-03T10:05:04.212508 #146] DEBUG -- :   TRANSACTION (0.4ms)  BEGIN
D, [2022-03-03T10:05:04.213020 #146] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('apple', '2.35', 'Little apple', 1)
D, [2022-03-03T10:05:04.214561 #146] DEBUG -- :   TRANSACTION (1.4ms)  COMMIT
D, [2022-03-03T10:05:04.215217 #146] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T10:05:04.215658 #146] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('lemon', '6.15', 'Big lemon', 1)
D, [2022-03-03T10:05:04.217919 #146] DEBUG -- :   TRANSACTION (2.1ms)  COMMIT
D, [2022-03-03T10:05:04.218510 #146] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T10:05:04.218914 #146] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('limousine', '25.95', 'A limousine', 2)
D, [2022-03-03T10:05:04.221314 #146] DEBUG -- :   TRANSACTION (2.3ms)  COMMIT
D, [2022-03-03T10:05:04.221768 #146] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T10:05:04.222128 #146] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('truck', '200', 'A truck', 2)
D, [2022-03-03T10:05:04.223510 #146] DEBUG -- :   TRANSACTION (1.3ms)  COMMIT
D, [2022-03-03T10:05:04.229811 #146] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T10:05:04.230240 #146] DEBUG -- :   Client Create (0.3ms)  INSERT INTO `clients` (`firstname`, `lastname`) VALUES ('Theo', 'Gautier')
D, [2022-03-03T10:05:04.233291 #146] DEBUG -- :   TRANSACTION (2.8ms)  COMMIT
D, [2022-03-03T10:05:04.234018 #146] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T10:05:04.234411 #146] DEBUG -- :   Client Create (0.3ms)  INSERT INTO `clients` (`firstname`, `lastname`) VALUES ('john', 'doedoe')
D, [2022-03-03T10:05:04.236746 #146] DEBUG -- :   TRANSACTION (2.2ms)  COMMIT
D, [2022-03-03T10:05:04.269816 #146] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:05:04.270294 #146] DEBUG -- :   Order Create (0.4ms)  INSERT INTO `orders` (`created_at`, `status`, `client_id`) VALUES ('2022-03-03 09:05:04.269108', 'PROGRESS', 1)
D, [2022-03-03T10:05:04.270981 #146] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (1, 1)
D, [2022-03-03T10:05:04.271565 #146] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (1, 3)
D, [2022-03-03T10:05:04.272145 #146] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (1, 4)
D, [2022-03-03T10:05:04.273990 #146] DEBUG -- :   TRANSACTION (1.7ms)  COMMIT
D, [2022-03-03T10:05:04.275513 #146] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:05:04.276001 #146] DEBUG -- :   Order Create (0.4ms)  INSERT INTO `orders` (`created_at`, `status`) VALUES ('2022-03-03 09:05:04.274944', 'PROGRESS')
D, [2022-03-03T10:05:04.276609 #146] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (2, 1)
D, [2022-03-03T10:05:04.277171 #146] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (2, 2)
D, [2022-03-03T10:05:04.277650 #146] DEBUG -- :   OrderItem Create (0.2ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (2, 3)
D, [2022-03-03T10:05:04.278201 #146] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (2, 4)
D, [2022-03-03T10:05:04.280507 #146] DEBUG -- :   TRANSACTION (2.1ms)  COMMIT
D, [2022-03-03T10:05:04.282882 #146] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T10:05:04.283422 #146] DEBUG -- :   Order Update (0.5ms)  UPDATE `orders` SET `orders`.`client_id` = 1 WHERE `orders`.`id` = 2
D, [2022-03-03T10:05:04.285828 #146] DEBUG -- :   TRANSACTION (2.2ms)  COMMIT
D, [2022-03-03T10:19:57.256406 #182] DEBUG -- :   Order Load (0.5ms)  SELECT `orders`.* FROM `orders` /* loading for inspect */ LIMIT 11
D, [2022-03-03T10:23:36.920916 #190] DEBUG -- :   Product Load (0.7ms)  SELECT `products`.* FROM `products` WHERE (price <= 0.20) /* loading for inspect */ LIMIT 11
D, [2022-03-03T10:25:47.203975 #190] DEBUG -- :   Category Load (0.4ms)  SELECT `categories`.* FROM `categories` WHERE `categories`.`id` = 2 LIMIT 1
D, [2022-03-03T10:25:50.644254 #190] DEBUG -- :   TRANSACTION (0.4ms)  BEGIN
D, [2022-03-03T10:25:50.644818 #190] DEBUG -- :   Product Create (0.5ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('Rock', '0.5', 'Rock', 2)
D, [2022-03-03T10:25:50.648751 #190] DEBUG -- :   TRANSACTION (3.8ms)  COMMIT
D, [2022-03-03T10:26:03.243828 #190] DEBUG -- :   Product Load (0.4ms)  SELECT `products`.* FROM `products` WHERE (price <= 0.20) /* loading for inspect */ LIMIT 11
D, [2022-03-03T10:26:28.401876 #190] DEBUG -- :   Product Load (0.5ms)  SELECT `products`.* FROM `products` WHERE (price <= 0.20) /* loading for inspect */ LIMIT 11
D, [2022-03-03T10:27:14.293290 #190] DEBUG -- :   Product Load (0.6ms)  SELECT `products`.* FROM `products` /* loading for inspect */ LIMIT 11
D, [2022-03-03T10:28:37.695452 #190] DEBUG -- :   Order Load (0.5ms)  SELECT `orders`.* FROM `orders` /* loading for inspect */ LIMIT 11
D, [2022-03-03T10:29:00.043001 #199] DEBUG -- :   Order Load (0.4ms)  SELECT `orders`.* FROM `orders` /* loading for inspect */ LIMIT 11
D, [2022-03-03T10:29:47.953562 #199] DEBUG -- :   Order Load (0.5ms)  SELECT `orders`.* FROM `orders`
D, [2022-03-03T10:29:47.974019 #199] DEBUG -- :   Client Load (0.4ms)  SELECT `clients`.* FROM `clients` WHERE `clients`.`id` = 1 LIMIT 1
D, [2022-03-03T10:31:14.341986 #205] DEBUG -- :   Order Load (0.4ms)  SELECT `orders`.* FROM `orders`
D, [2022-03-03T10:31:14.372163 #205] DEBUG -- :   Client Load (0.5ms)  SELECT `clients`.* FROM `clients` WHERE `clients`.`id` = 1 LIMIT 1
D, [2022-03-03T10:33:04.710601 #213] DEBUG -- :   Order Load (0.5ms)  SELECT `orders`.* FROM `orders`
D, [2022-03-03T10:33:04.741040 #213] DEBUG -- :   Client Load (0.5ms)  SELECT `clients`.* FROM `clients` WHERE `clients`.`id` = 1 LIMIT 1
D, [2022-03-03T10:33:04.743526 #213] DEBUG -- :   Client Load (0.5ms)  SELECT `clients`.* FROM `clients` WHERE `clients`.`id` = 1 LIMIT 1
D, [2022-03-03T10:34:15.247777 #217] DEBUG -- :   Order Load (0.5ms)  SELECT `orders`.* FROM `orders`
D, [2022-03-03T10:34:15.285974 #217] DEBUG -- :   Client Load (0.5ms)  SELECT `clients`.* FROM `clients` WHERE `clients`.`id` = 1 LIMIT 1
D, [2022-03-03T10:35:10.947786 #220] DEBUG -- :   Order Load (0.5ms)  SELECT `orders`.* FROM `orders`
D, [2022-03-03T10:35:10.978898 #220] DEBUG -- :   Client Load (0.5ms)  SELECT `clients`.* FROM `clients` WHERE `clients`.`id` = 1 LIMIT 1
D, [2022-03-03T10:35:10.982141 #220] DEBUG -- :   Client Load (0.4ms)  SELECT `clients`.* FROM `clients` WHERE `clients`.`id` = 1 LIMIT 1
D, [2022-03-03T10:41:31.624641 #229] DEBUG -- :   TRANSACTION (0.4ms)  BEGIN
D, [2022-03-03T10:41:31.625090 #229] DEBUG -- :   Category Create (0.3ms)  INSERT INTO `categories` VALUES ()
D, [2022-03-03T10:41:31.628158 #229] DEBUG -- :   TRANSACTION (1.8ms)  COMMIT
D, [2022-03-03T10:41:31.629313 #229] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:41:31.629749 #229] DEBUG -- :   Category Create (0.3ms)  INSERT INTO `categories` VALUES ()
D, [2022-03-03T10:41:31.632298 #229] DEBUG -- :   TRANSACTION (2.4ms)  COMMIT
D, [2022-03-03T10:41:31.643073 #229] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:41:31.646691 #229] DEBUG -- :   Product Create (3.5ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('apple', '2.35', 'Little apple', 1)
D, [2022-03-03T10:41:31.648500 #229] DEBUG -- :   TRANSACTION (1.5ms)  COMMIT
D, [2022-03-03T10:41:31.649589 #229] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:41:31.650143 #229] DEBUG -- :   Product Create (0.5ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('lemon', '6.15', 'Big lemon', 1)
D, [2022-03-03T10:41:31.652517 #229] DEBUG -- :   TRANSACTION (2.2ms)  COMMIT
D, [2022-03-03T10:41:31.653328 #229] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:41:31.653763 #229] DEBUG -- :   Product Create (0.4ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('limousine', '25.95', 'A limousine', 2)
D, [2022-03-03T10:41:31.655992 #229] DEBUG -- :   TRANSACTION (2.1ms)  COMMIT
D, [2022-03-03T10:41:31.656561 #229] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T10:41:31.656927 #229] DEBUG -- :   Product Create (0.3ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('truck', '200', 'A truck', 2)
D, [2022-03-03T10:41:31.658731 #229] DEBUG -- :   TRANSACTION (1.7ms)  COMMIT
D, [2022-03-03T10:41:31.659344 #229] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:41:31.663385 #229] DEBUG -- :   Product Create (4.0ms)  INSERT INTO `products` (`name`, `price`, `description`, `category_id`) VALUES ('Rock', '0.2', 'Rock', 2)
D, [2022-03-03T10:41:31.664931 #229] DEBUG -- :   TRANSACTION (1.3ms)  COMMIT
D, [2022-03-03T10:41:31.670961 #229] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:41:31.671378 #229] DEBUG -- :   Client Create (0.3ms)  INSERT INTO `clients` (`firstname`, `lastname`) VALUES ('Theo', 'Gautier')
D, [2022-03-03T10:41:31.673971 #229] DEBUG -- :   TRANSACTION (2.5ms)  COMMIT
D, [2022-03-03T10:41:31.674491 #229] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-03T10:41:31.674915 #229] DEBUG -- :   Client Create (0.4ms)  INSERT INTO `clients` (`firstname`, `lastname`) VALUES ('john', 'doedoe')
D, [2022-03-03T10:41:31.677280 #229] DEBUG -- :   TRANSACTION (2.3ms)  COMMIT
D, [2022-03-03T10:41:31.709746 #229] DEBUG -- :   TRANSACTION (0.3ms)  BEGIN
D, [2022-03-03T10:41:31.710204 #229] DEBUG -- :   Order Create (0.4ms)  INSERT INTO `orders` (`created_at`, `status`, `client_id`) VALUES ('2022-03-03 09:41:31.709079', 'PROGRESS', 1)
D, [2022-03-03T10:41:31.710920 #229] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (1, 1)
D, [2022-03-03T10:41:31.711516 #229] DEBUG -- :   OrderItem Create (0.3ms)  INSERT INTO `order_items` (`order_id`, `product_id`) VALUES (1, 3)
